frame_number,segment_id,segment_label,tracking_source,detected,confidence,x_raw,y_raw,x_smooth,y_smooth,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,bbox_area,aspect_ratio,anchor_type,boundary_id,boundary_cue,is_boundary,motion_start_frame
23,2,Segment_2,yolo_detection,True,0.7959021329879761,147.01394653320312,168.9447479248047,261.5472412109375,160.83157348632812,0,43,313,294,313.0,251.0,78563.0,1.247011952191235,center,,none,False,1
24,2,Segment_2,yolo_detection,True,0.8052281141281128,147.00811767578125,169.57366943359375,131.46434020996094,170.87863159179688,0,45,312,293,312.0,248.0,77376.0,1.2580645161290323,center,,none,False,1
25,2,Segment_2,yolo_detection,True,0.7534444332122803,152.4892120361328,158.97003173828125,72.44610595703125,169.9116973876953,0,22,320,295,320.0,273.0,87360.0,1.1721611721611722,center,,none,False,1
26,2,Segment_2,yolo_detection,True,0.7875774502754211,153.94041442871094,158.71836853027344,77.2901611328125,166.0077362060547,0,20,323,296,323.0,276.0,89148.0,1.1702898550724639,center,,none,False,1
27,2,Segment_2,yolo_detection,True,0.7664197683334351,152.60572814941406,158.13258361816406,84.47772216796875,161.3037109375,0,20,320,295,320.0,275.0,88000.0,1.1636363636363636,center,2,bend_angle_ge_30deg,True,1
28,3,Segment_3,yolo_detection,True,0.7550670504570007,153.31167602539062,158.6979522705078,111.18923950195312,158.82627868652344,0,21,322,296,322.0,275.0,88550.0,1.170909090909091,center,,none,False,1
29,3,Segment_3,yolo_detection,True,0.800153911113739,153.9935760498047,156.36572265625,146.34161376953125,155.4433135986328,0,16,323,296,323.0,280.0,90440.0,1.1535714285714285,center,,none,False,1
30,3,Segment_3,yolo_detection,True,0.8097653388977051,153.3822784423828,156.165771484375,178.39935302734375,153.21646118164062,0,18,321,293,321.0,275.0,88275.0,1.1672727272727272,center,,none,False,1
31,3,Segment_3,hold_position,False,0.0,153.3822784423828,156.165771484375,197.2191619873047,152.57199096679688,0,18,321,293,321.0,275.0,88275.0,1.1672727272727272,center,,none,False,1
32,3,Segment_3,hold_position,False,0.0,153.3822784423828,156.165771484375,192.15713500976562,153.77264404296875,0,18,321,293,321.0,275.0,88275.0,1.1672727272727272,center,,none,False,1
